Issue Type,Summary,Description,Acceptance Criteria,Story Points,Labels,Epic Link,Parent
Sub-task,[TASK] Tests unitarios REQ-002,should_returnProduct_when_activeProductExists y should_throwProductNotFoundException,,1,backend testing,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-002: Consultar Producto por ID
Story,[STORY] REQ-003: Listar Productos con Paginación y Filtros,Como Operator o External_System quiero listar productos activos con paginación y filtros para explorar el catálogo.,"GET /api/v1/products retorna 200 PaginatedResponse solo activos. Filtros: category minPrice maxPrice name sku. Múltiples filtros como AND.",5,backend spring-boot sdd pagination,[EPIC] SDD Products API — Gestión de Catálogo de Productos,
Sub-task,[TASK] Derived methods en ProductRepository,findByCategory findByPriceBetween findByNameContainingIgnoreCase y combinaciones AND sin @Query,,2,backend repository,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-003: Listar Productos con Paginación y Filtros
Sub-task,[TASK] Implementar ProductServiceImpl.findAll() con selectPage,Lógica de selección de derived method según filtros presentes,,1,backend service,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-003: Listar Productos con Paginación y Filtros
Sub-task,[TASK] Endpoint GET / con @RequestParam opcionales,page size category minPrice maxPrice name sku con defaults page=0 size=10,,1,backend controller,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-003: Listar Productos con Paginación y Filtros
Sub-task,[TASK] Tests listado y filtros,should_excludeSoftDeleted_when_findAll y property tests 6-10,,1,backend testing,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-003: Listar Productos con Paginación y Filtros
Story,[STORY] REQ-004: Actualizar Producto,Como Operator quiero actualizar los atributos de un producto para que el catálogo refleje la información correcta.,"PUT /api/v1/products/{id} actualiza solo campos no nulos retorna 200. updatedAt renovado. Campo sku en body retorna 422. Inexistente retorna 404.",3,backend spring-boot sdd domain,[EPIC] SDD Products API — Gestión de Catálogo de Productos,
Sub-task,[TASK] Crear UpdateProductRequest sin campo sku,DTO con campos opcionales name description price stock category,,1,backend domain,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-004: Actualizar Producto
Sub-task,[TASK] Implementar ProductServiceImpl.update() con patch parcial,Actualizar solo campos no nulos. Detectar intento de cambio de SKU.,,1,backend service,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-004: Actualizar Producto
Sub-task,[TASK] Tests actualización,should_updateNonNullFields y should_return422_when_updateAttemptsSKUChange,,1,backend testing,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-004: Actualizar Producto
Story,[STORY] REQ-005: Eliminar Producto (Soft Delete),Como Operator quiero eliminar un producto del catálogo para que deje de ser visible mientras sus datos se conservan para auditoría.,"DELETE /api/v1/products/{id} asigna deletedAt retorna 204. Registro físico permanece en BD. Inexistente o ya eliminado retorna 404.",2,backend spring-boot sdd soft-delete,[EPIC] SDD Products API — Gestión de Catálogo de Productos,
Sub-task,[TASK] Implementar ProductServiceImpl.delete() con soft-delete,Asignar deletedAt = OffsetDateTime.now() y save. No borrar físicamente.,,1,backend service,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-005: Eliminar Producto (Soft Delete)
Sub-task,[TASK] Endpoint DELETE /{id} retorna 204,@DeleteMapping @ResponseStatus(NO_CONTENT),,1,backend controller,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-005: Eliminar Producto (Soft Delete)
Sub-task,[TASK] Tests soft-delete,should_setDeletedAt_when_productIsDeleted y should_preserveRecordInDatabase_when_softDeleted,,1,backend testing,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-005: Eliminar Producto (Soft Delete)
Story,[STORY] REQ-006: Ajuste de Stock,Como Operator quiero ajustar el stock de un producto mediante un delta para que el inventario refleje los cambios reales.,"PATCH /api/v1/products/{id}/stock aplica nuevoStock=stockActual+delta retorna 200. Delta negativo que resulte en stock<0 retorna 422 sin cambios. Inexistente retorna 404.",3,backend spring-boot sdd inventory,[EPIC] SDD Products API — Gestión de Catálogo de Productos,
Sub-task,[TASK] Crear StockAdjustmentRequest,DTO con @NotNull Integer delta sin restricción de rango,,1,backend domain,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-006: Ajuste de Stock
Sub-task,[TASK] Implementar ProductServiceImpl.adjustStock(),Calcular newStock validar >= 0 asignar y save,,1,backend service,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-006: Ajuste de Stock
Sub-task,[TASK] Tests ajuste de stock,should_increaseStock should_decreaseStock should_throwInsufficientStockException y property tests 14-15,,1,backend testing,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-006: Ajuste de Stock
Story,[STORY] REQ-007: Serialización JSON y OpenAPI,Como External_System quiero que todas las respuestas sean JSON válido y la API esté documentada en OpenAPI para que la integración sea confiable.,"createdAt/updatedAt en ISO 8601. price preserva precisión BigDecimal. JSON malformado retorna 400. OpenAPI en /v3/api-docs. Swagger UI en /swagger-ui.html.",2,backend spring-boot sdd openapi,[EPIC] SDD Products API — Gestión de Catálogo de Productos,
Sub-task,[TASK] Configurar Jackson ISO 8601,write-dates-as-timestamps: false en application.yml,,1,backend config,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-007: Serialización JSON y OpenAPI
Sub-task,[TASK] Crear OpenApiConfig.java,Bean OpenAPI con título versión y descripción del servicio,,1,backend config,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-007: Serialización JSON y OpenAPI
Sub-task,[TASK] GlobalExceptionHandler para JSON malformado,Handler HttpMessageNotReadableException retorna 400 MALFORMED_JSON,,1,backend exception,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-007: Serialización JSON y OpenAPI
Technical Task,[TECHNICAL TASK] NFR-001: Cobertura de Tests >= 80%,Configurar JaCoCo con límite mínimo 80% en líneas y ramas. Verificar en cada build con mvn verify.,,2,backend testing quality,[EPIC] SDD Products API — Gestión de Catálogo de Productos,
Technical Task,[TECHNICAL TASK] NFR-002: Property-Based Testing con jqwik,Implementar 16 propiedades de corrección con @Property(tries=100) cubriendo todas las reglas de negocio críticas.,,5,backend testing pbt,[EPIC] SDD Products API — Gestión de Catálogo de Productos,
Technical Task,[TECHNICAL TASK] NFR-003: Documentación OpenAPI completa,Todos los endpoints con @Operation @ApiResponse y descripción de parámetros. Swagger UI accesible.,,1,backend documentation openapi,[EPIC] SDD Products API — Gestión de Catálogo de Productos,
